Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,,Publication Year,Count
,,,Recycling and Waste Management Techniques,45,,The University of Texas at Austin,220,,,,,2005,69.00
,,,Electrocatalysts for Energy Conversion,42,,Battelle,219,,,,,2004,65.00
,,,Synthesis and properties of polymers,41,,Oak Ridge National Laboratory,215,,,,,2003,64.00
,,,Synthesis and Properties of Inorganic Cluster Compounds,40,,UT-Battelle,215,,,,,2002,55.00
,,,Semiconductor materials and interfaces,38,,United States Department of the Army,208,,,,,1999,28.00
,,,Chemical Synthesis and Characterization,34,,Helmholtz-Institute Ulm,205,,,,,2001,28.00
,,,Advanced NMR Techniques and Applications,31,,Fudan University,201,,,,,2000,27.00
,,,Fiber-reinforced polymer composites,30,,United States Army Combat Capabilities Development Command,201,,,,,1998,20.00
,,,Perovskite Materials and Applications,25,,United States Army Futures Command,201,,,,,1997,14.00
,,,Anodic Oxide Films and Nanostructures,25,,Uppsala University,199,,,,,1994,10.00
,,,Analytical Chemistry and Sensors,24,,Ministry of Industry and Information Technology,199,,,,,1989,5.00
,,,Advancements in Solid Oxide Fuel Cells,23,,Shanghai Jiao Tong University,198,,,,,1995,5.00
,,,Glass properties and applications,23,,Beijing Institute of Technology,196,,,,,1992,4.00
,,,Gas Sensing Nanomaterials and Sensors,22,,DEVCOM Army Research Laboratory,190,,,,,1993,4.00
,,,Nuclear Physics and Applications,22,,Massachusetts Institute of Technology,190,,,,,1996,4.00
,,,Catalytic Processes in Materials Science,21,,Xiamen University,189,,,,,1991,3.00
,,,Flame retardant materials and properties,20,,Central South University,187,,,,,1979,2.00
,,,Chemical and Physical Properties in Aqueous Solutions,20,,National Nuclear Security Administration,187,,,,,1988,2.00
,,,Thermal Expansion and Ionic Conductivity,20,,Technical University of Munich,187,,,,,1965,1.00
,,,Advanced Memory and Neural Computing,19,,Pacific Northwest National Laboratory,185,,,,,1971,1.00
,,,Electrodeposition and Electroless Coatings,18,,Helmholtz-Institute Münster,184,,,,,1975,1.00
,,,Layered Double Hydroxides Synthesis and Applications,18,,Hanyang University,183,,,,,1982,1.00
,,,Green IT and Sustainability,18,,University of Münster,179,,,,,1983,1.00
,,,Molten salt chemistry and electrochemical processes,17,,Board of the Swiss Federal Institutes of Technology,163,,,,,1985,1.00
,,,Membrane-based Ion Separation Techniques,17,,Réseau sur le Stockage Electrochimique de l'énergie,157,,,,,,
,,,NMR spectroscopy and applications,16,,National Institute for Materials Science,156,,,,,,
,,,Spectroscopy and Quantum Chemical Studies,15,,Stanford University,156,,,,,,
,,,Advanced Sensor and Energy Harvesting Materials,14,,Nankai University,154,,,,,,
,,,Metal-Organic Frameworks: Synthesis and Applications,13,,Harbin Institute of Technology,150,,,,,,
,,,Ammonia Synthesis and Nitrogen Reduction,13,,Australian Government,148,,,,,,
,,,Ion-surface interactions and analysis,12,,Seoul National University,146,,,,,,
,,,Electrostatics and Colloid Interactions,12,,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,142,,,,,,
,,,Zeolite Catalysis and Synthesis,11,,Tianjin University,140,,,,,,
,,,Advanced Cellulose Research Studies,11,,South China University of Technology,139,,,,,,
,,,Force Microscopy Techniques and Applications,11,,Peking University,134,,,,,,
,,,Carbon dioxide utilization in catalysis,11,,Wuhan University of Technology,133,,,,,,
,,,Graphene research and applications,10,,Université de Picardie Jules Verne,133,,,,,,
,,,Catalysis and Oxidation Reactions,10,,Institute of Physics,132,,,,,,
,,,Additive Manufacturing and 3D Printing Technologies,9,,CIC energiGUNE,130,,,,,,
,,,Interconnection Networks and Systems,9,,Southern University of Science and Technology,128,,,,,,
,,,Molecular Junctions and Nanostructures,9,,University of Cambridge,125,,,,,,
,,,Boron Compounds in Chemistry,9,,University of Michigan,124,,,,,,
,,,Engineering Applied Research,9,,"Department of Industry, Science and Resources",124,,,,,,
,,,Chalcogenide Semiconductor Thin Films,8,,National Institute of Advanced Industrial Science and Technology,124,,,,,,
,,,Silicon and Solar Cell Technologies,8,,Zhengzhou University,123,,,,,,
,,,Various Chemistry Research Topics,8,,University of Oxford,122,,,,,,
,,,Spacecraft Design and Technology,8,,Collaborative Innovation Center of Chemistry for Energy Materials,122,,,,,,
,,,X-ray Diffraction in Crystallography,8,,Université Grenoble Alpes,121,,,,,,
,,,Magnesium Oxide Properties and Applications,8,,Yokohama National University,120,,,,,,
,,,Atom Probe Tomography Research,8,,Sandia National Laboratories,118,,,,,,
,,,Advanced Photocatalysis Techniques,7,,"University of California, San Diego",117,,,,,,
,,,Electrochemical sensors and biosensors,7,,Tohoku University,116,,,,,,
,,,Electric and Hybrid Vehicle Technologies,7,,University of Science and Technology Beijing,115,,,,,,
,,,Non-Destructive Testing Techniques,7,,Bar-Ilan University,113,,,,,,
,,,Thermal and Kinetic Analysis,7,,Dalhousie University,111,,,,,,
,,,Electric Power Systems and Control,7,,National University of Singapore,111,,,,,,
,,,Chemical and Physical Properties of Materials,7,,Korea Institute of Science and Technology,111,,,,,,
,,,Integrated Circuits and Semiconductor Failure Analysis,7,,Laboratoire de Réactivité et Chimie des Solides,110,,,,,,
,,,Advanced ceramic materials synthesis,6,,Toyota Group (Japan),110,,,,,,
,,,Advanced DC-DC Converters,6,,South China Normal University,109,,,,,,
,,,Quantum Dots Synthesis And Properties,6,,Georgia Institute of Technology,108,,,,,,
,,,Advanced Thermoelectric Materials and Devices,6,,Ulsan National Institute of Science and Technology,107,,,,,,
,,,Hybrid Renewable Energy Systems,6,,The University of Tokyo,107,,,,,,
,,,Sensor Technology and Measurement Systems,6,,Sorbonne Université,106,,,,,,
,,,Material Properties and Applications,6,,Korea Advanced Institute of Science and Technology,105,,,,,,
,,,Water Quality Monitoring and Analysis,6,,California Institute of Technology,104,,,,,,
,,,TiO2 Photocatalysis and Solar Cells,5,,Samsung (South Korea),104,,,,,,
,,,Advanced biosensing and bioanalysis techniques,5,,The Faraday Institution,103,,,,,,
,,,Corrosion Behavior and Inhibition,5,,University of Electronic Science and Technology of China,102,,,,,,
,,,Aluminum Alloys Composites Properties,5,,University of Waterloo,101,,,,,,
,,,Hydrogen embrittlement and corrosion behaviors in metals,5,,Justus-Liebig-Universität Gießen,100,,,,,,
,,,Advanced Electron Microscopy Techniques and Applications,5,,University of Illinois Chicago,100,,,,,,
,,,Silicon Nanostructures and Photoluminescence,5,,City University of Hong Kong,99,,,,,,
,,,Inorganic and Organometallic Chemistry,5,,Commonwealth Scientific and Industrial Research Organisation,98,,,,,,
,,,CO2 Reduction Techniques and Catalysts,5,,Beijing University of Chemical Technology,98,,,,,,
,,,Copper-based nanomaterials and applications,5,,University of Illinois Urbana-Champaign,97,,,,,,
,,,Coordination Chemistry and Organometallics,5,,Chalmers University of Technology,97,,,,,,
,,,solar cell performance optimization,5,,Shanghai University,96,,,,,,
,,,thermodynamics and calorimetric analyses,5,,National Renewable Energy Laboratory,96,,,,,,
,,,Advanced Algorithms and Applications,5,,Brookhaven National Laboratory,96,,,,,,
,,,Metallurgical and Alloy Processes,5,,Purdue University West Lafayette,96,,,,,,
,,,Power Systems and Renewable Energy,5,,Office of Energy Efficiency and Renewable Energy,96,,,,,,
,,,Carbon Nanotubes in Composites,4,,Brookhaven Science Associates,96,,,,,,
,,,Ferroelectric and Piezoelectric Materials,4,,Xi'an Jiaotong University,96,,,,,,
,,,Microgrid Control and Optimization,4,,Shenzhen University,95,,,,,,
,,,2D Materials and Applications,4,,Fraunhofer Society,93,,,,,,
,,,Magnesium Alloys for Biomedical Applications,4,,Sichuan University,92,,,,,,
,,,biodegradable polymer synthesis and properties,4,,Changchun Institute of Applied Chemistry,92,,,,,,
,,,Mass Spectrometry Techniques and Applications,4,,Deakin University,91,,,,,,
,,,Electrospun Nanofibers in Biomedical Applications,4,,SLAC National Accelerator Laboratory,91,,,,,,
,,,Mesoporous Materials and Catalysis,4,,Tokyo Institute of Technology,90,,,,,,
,,,Synthesis and characterization of novel inorganic/organometallic compounds,4,,University of Wollongong,90,,,,,,
,,,Fullerene Chemistry and Applications,4,,Sun Yat-sen University,89,,,,,,
,,,VLSI and Analog Circuit Testing,4,,General Motors (United States),88,,,,,,
,,,Metal Extraction and Bioleaching,4,,Soochow University,88,,,,,,
,,,Solidification and crystal growth phenomena,4,,Direction de la Recherche Technologique,88,,,,,,
,,,Lubricants and Their Additives,4,,University of Hong Kong,87,,,,,,
,,,Chemical Synthesis and Reactions,4,,Pennsylvania State University,86,,,,,,
,,,Chemistry and Chemical Engineering,4,,Government of India,86,,,,,,
,,,History and advancements in chemistry,4,,Sungkyunkwan University,86,,,,,,
,,,Nanoporous metals and alloys,4,,Nanjing University,86,,,,,,
,,,"Graphite, nuclear technology, radiation studies",4,,Kyushu University,84,,,,,,
,,,Advanced Sensor and Control Systems,4,,Beijing National Laboratory for Molecular Sciences,84,,,,,,
,,,Liquid Crystal Research Advancements,3,,Tongji University,83,,,,,,
,,,Electronic Packaging and Soldering Technologies,3,,Dalian Institute of Chemical Physics,83,,,,,,
,,,Diamond and Carbon-based Materials Research,3,,Ningbo Institute of Industrial Technology,83,,,,,,
,,,High voltage insulation and dielectric phenomena,3,,Shandong University,82,,,,,,
,,,Plasmonics for Photovoltaic Devices,3,,Jilin University,82,,,,,,
,,,Aluminum Alloy Microstructure Properties,3,,Wuhan University,82,,,,,,
,,,Radiation Effects in Electronics,3,,Energy Storage Systems (United States),82,,,,,,
,,,Intermetallics and Advanced Alloy Properties,3,,National Aeronautics and Space Administration,82,,,,,,
,,,High Entropy Alloys Studies,3,,Guangdong University of Technology,81,,,,,,
,,,Microbial Fuel Cells and Bioremediation,3,,Daegu Gyeongbuk Institute of Science and Technology,81,,,,,,
,,,Synthesis and Properties of Aromatic Compounds,3,,CEA LITEN,80,,,,,,
,,,Chemical Mechanical Polishing in Microelectronics Manufacturing,3,,Toyota Motor Corporation (Japan),80,,,,,,
,,,Advancements in Photolithography Techniques,3,,Korea University,78,,,,,,
,,,Carbon and Quantum Dots Applications,3,,Paul Scherrer Institute,78,,,,,,
,,,Wireless Energy Harvesting and Information Transfer,3,,Tsinghua–Berkeley Shenzhen Institute,78,,,,,,
,,,Lattice Boltzmann Simulation Studies,3,,Graz University of Technology,77,,,,,,
,,,Laser-induced spectroscopy and plasma,3,,Texas A&M University,77,,,,,,
,,,Aerogels and thermal insulation,3,,Imperial College London,76,,,,,,
,,,Nanomaterials for catalytic reactions,3,,Tokyo University of Science,74,,,,,,
,,,Industrial Gas Emission Control,3,,Nanyang Technological University,72,,,,,,
,,,Nuclear materials and radiation effects,3,,Universität Ulm,72,,,,,,
,,,Electrohydrodynamics and Fluid Dynamics,3,,Sapienza University of Rome,72,,,,,,
,,,Modular Robots and Swarm Intelligence,3,,Delft University of Technology,72,,,,,,
,,,Photovoltaic Systems and Sustainability,3,,Institut polytechnique de Grenoble,71,,,,,,
,,,Quantum-Dot Cellular Automata,3,,RWTH Aachen University,71,,,,,,
,,,Pigment Synthesis and Properties,3,,University of London,70,,,,,,
,,,Internet of Things and Social Network Interactions,3,,Chungnam National University,70,,,,,,
,,,Nanotechnology research and applications,3,,Materials Science & Engineering,69,,,,,,
,,,Advanced Data Processing Techniques,3,,Florida State University,68,,,,,,
,,,Advanced Chemical Physics Studies,2,,Western University,68,,,,,,
,,,ZnO doping and properties,2,,Hunan University,68,,,,,,
,,,Advanced MRI Techniques and Applications,2,,Norwegian University of Science and Technology,68,,,,,,
,,,Supramolecular Chemistry and Complexes,2,,Hong Kong University of Science and Technology,67,,,,,,
,,,Laser Material Processing Techniques,2,,Consejo Superior de Investigaciones Científicas,66,,,,,,
,,,Plasma Diagnostics and Applications,2,,Collège de France,65,,,,,,
,,,Self-Healing Polymer Materials,2,,Ministry of Science and Technology,65,,,,,,
,,,Fault Detection and Control Systems,2,,Shanghai Institute of Ceramics,65,,,,,,
,,,Fluorine in Organic Chemistry,2,,Nagoya Institute of Technology,64,,,,,,
,,,Carbon Dioxide Capture Technologies,2,,Université Paris-Saclay,64,,,,,,
,,,Radioactive element chemistry and processing,2,,Russian Academy of Sciences,63,,,,,,
,,,Catalysis for Biomass Conversion,2,,United States Department of the Navy,63,,,,,,
,,,Metallurgy and Material Forming,2,,Qingdao Institute of Bioenergy and Bioprocess Technology,63,,,,,,
,,,Nanowire Synthesis and Applications,2,,Nantes Université,62,,,,,,
,,,Lanthanide and Transition Metal Complexes,2,,United States Department of Commerce,61,,,,,,
,,,Spectroscopy Techniques in Biomedical and Chemical Research,2,,Nanjing Tech University,61,,,,,,
,,,Catalysis and Hydrodesulfurization Studies,2,,National Taiwan University of Science and Technology,61,,,,,,
,,,Membrane Separation and Gas Transport,2,,Max Planck Society,60,,,,,,
,,,Biosensors and Analytical Detection,2,,Northwestern Polytechnical University,60,,,,,,
,,,Advanced Machining and Optimization Techniques,2,,Université de Lyon,60,,,,,,
,,,Advanced Thermodynamics and Statistical Mechanics,2,,Université de Pau et des Pays de l'Adour,59,,,,,,
,,,VLSI and FPGA Design Techniques,2,,National Taiwan University,59,,,,,,
,,,Advanced Aircraft Design and Technologies,2,,Yonsei University,59,,,,,,
,,,Composite Material Mechanics,2,,Université de Montpellier,59,,,,,,
,,,Neuroscience and Neural Engineering,2,,Government of the Republic of Korea,59,,,,,,
,,,Dielectric materials and actuators,2,,Suzhou Institute of Nano-tech and Nano-bionics,59,,,,,,
,,,Copper Interconnects and Reliability,2,,University College London,59,,,,,,
,,,Advanced Chemical Sensor Technologies,2,,Zhejiang University of Technology,59,,,,,,
,,,Clay minerals and soil interactions,2,,Pohang University of Science and Technology,58,,,,,,
,,,Iron oxide chemistry and applications,2,,University of the Basque Country,58,,,,,,
,,,Pickering emulsions and particle stabilization,2,,Battery Park,58,,,,,,
,,,"Quantum, superfluid, helium dynamics",2,,State Key Laboratory of Chemical Engineering,58,,,,,,
,,,Silk-based biomaterials and applications,2,,Technical University of Denmark,58,,,,,,
,,,Advanced Physical and Chemical Molecular Interactions,2,,Northeast Normal University,57,,,,,,
,,,Industrial Vision Systems and Defect Detection,2,,Qingdao University,56,,,,,,
,,,Microwave Dielectric Ceramics Synthesis,2,,Leibniz Association,56,,,,,,
,,,Chemical Reaction Mechanisms,2,,State Key Laboratory of New Ceramics and Fine Processing,56,,,,,,
,,,Advanced Nanomaterials in Catalysis,2,,Council of Scientific and Industrial Research,56,,,,,,
,,,Supercritical Water Gasification for Hydrogen Production,2,,Korea University of Science and Technology,56,,,,,,
,,,Engineering and Technology Innovations,2,,Hong Kong Polytechnic University,55,,,,,,
,,,Surface Roughness and Optical Measurements,2,,Xiangtan University,55,,,,,,
,,,Spacecraft and Cryogenic Technologies,2,,Toyota Motor Corporation (Switzerland),54,,,,,,
,,,Electrical and Thermal Properties of Materials,2,,National Institute of Standards and Technology,54,,,,,,
,,,Belt Conveyor Systems Engineering,2,,Technical University of Darmstadt,54,,,,,,
,,,Phenothiazines and Benzothiazines Synthesis and Activities,2,,Nagoya University,54,,,,,,
,,,"Energy, Environment, Agriculture Analysis",2,,Institut des Sciences Analytiques et de Physico-Chimie pour l'Environnement et les Matériaux,53,,,,,,
,,,Corrosion Behavior of Nickel-Aluminium Bronze Alloys,2,,Cornell University,52,,,,,,
,,,Electrophoretic Deposition in Materials Science,2,,ETH Zurich,52,,,,,,
