Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,,Publication Year,Count
,,,Microfluidic and Capillary Electrophoresis Applications,2598,,United States Department of Defense,2011,,,,,2003,5296
,,,Magnesium Alloys for Biomedical Applications,2570,,Department of Chemistry and Material Sciences,1964,,,,,2002,5268
,,,Spectroscopy and Quantum Chemical Studies,2504,,Australian Government,1929,,,,,2001,4168
,,,Advanced Machining and Optimization Techniques,2396,,National Nuclear Security Administration,1922,,,,,2000,3927
,,,Gas Sensing Nanomaterials and Sensors,2269,,Max Planck Society,1862,,,,,1999,3708
,,,Molten salt chemistry and electrochemical processes,2187,,Ministry of Science and Technology,1790,,,,,1998,3571
,,,Membrane-based Ion Separation Techniques,1963,,Huazhong University of Science and Technology,1781,,,,,1996,3385
,,,Transition Metal Oxide Nanomaterials,1901,,Harbin Institute of Technology,1757,,,,,1997,3304
,,,Advanced Photocatalysis Techniques,1854,,Tohoku University,1670,,,,,1995,2951
,,,Clinical Nutrition and Gastroenterology,1784,,Fudan University,1655,,,,,1994,2712
,,,Thermodynamic properties of mixtures,1673,,Tokyo Institute of Technology,1642,,,,,1990,2698
,,,Hybrid Renewable Energy Systems,1638,,Stanford University,1615,,,,,1992,2626
,,,Ion Transport and Channel Regulation,1605,,University of London,1614,,,,,1993,2580
,,,Electrochemical sensors and biosensors,1599,,Kyushu University,1593,,,,,1989,2577
,,,Potassium and Related Disorders,1501,,Council of Scientific and Industrial Research,1590,,,,,1991,2567
,,,Surfactants and Colloidal Systems,1429,,Massachusetts Institute of Technology,1580,,,,,1988,2444
,,,Ammonia Synthesis and Nitrogen Reduction,1409,,UT-Battelle,1562,,,,,1986,2408
,,,Hydrogen embrittlement and corrosion behaviors in metals,1353,,Oak Ridge National Laboratory,1561,,,,,1987,2365
,,,Chalcogenide Semiconductor Thin Films,1327,,The University of Tokyo,1561,,,,,1985,2171
,,,Metal Extraction and Bioleaching,1315,,"Department of Industry, Science and Resources",1487,,,,,1983,2165
,,,Water Quality Monitoring and Analysis,1296,,National Institute of Advanced Industrial Science and Technology,1475,,,,,1984,2125
,,,Advanced Sensor and Energy Harvesting Materials,1258,,Seoul National University,1472,,,,,1981,2091
,,,Diet and metabolism studies,1250,,Tianjin University,1471,,,,,1980,2039
,,,Advanced oxidation water treatment,1229,,Battelle,1441,,,,,1982,1899
,,,Nanopore and Nanochannel Transport Studies,1184,,The University of Texas at Austin,1422,,,,,1979,1787
,,,Hormonal Regulation and Hypertension,1171,,Ministry of Industry and Information Technology,1390,,,,,1977,1779
,,,Bone Tissue Engineering Materials,1165,,Hanyang University,1359,,,,,1975,1714
,,,Advanced Memory and Neural Computing,1155,,Nankai University,1342,,,,,1976,1676
,,,Metal complexes synthesis and properties,1149,,Beijing Institute of Technology,1340,,,,,1978,1665
,,,Semiconductor materials and devices,1144,,Technical University of Denmark,1334,,,,,1973,1396
,,,Plant Stress Responses and Tolerance,1130,,Sorbonne Université,1332,,,,,1969,1362
,,,Cardiac electrophysiology and arrhythmias,1053,,Consejo Superior de Investigaciones Científicas,1291,,,,,1974,1351
,,,Thermoregulation and physiological responses,1043,,Commonwealth Scientific and Industrial Research Organisation,1278,,,,,1972,1334
,,,Metal and Thin Film Mechanics,1037,,Imperial College London,1270,,,,,1970,1316
,,,Solid-state spectroscopy and crystallography,1035,,Xiamen University,1244,,,,,1971,1274
,,,Catalytic Processes in Materials Science,1031,,National University of Singapore,1235,,,,,1968,1247
,,,Advanced Chemical Sensor Technologies,1016,,The University of Osaka,1230,,,,,1966,1100
,,,MXene and MAX Phase Materials,999,,South China University of Technology,1219,,,,,1967,1099
,,,Dialysis and Renal Disease Management,923,,Peking University,1209,,,,,1965,1038
,,,Molecular Junctions and Nanostructures,908,,Xi'an Jiaotong University,1196,,,,,1964,1036
,,,Muscle metabolism and nutrition,859,,Korea Institute of Science and Technology,1181,,,,,1963,978
,,,Analytical Chemistry and Chromatography,822,,Zhengzhou University,1163,,,,,1961,973
,,,Material Properties and Applications,816,,Uppsala University,1161,,,,,1960,924
,,,Silicon Nanostructures and Photoluminescence,805,,Hokkaido University,1158,,,,,1962,923
,,,Inorganic and Organometallic Chemistry,794,,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,1142,,,,,1959,829
,,,Metallurgical Processes and Thermodynamics,793,,Université Grenoble Alpes,1137,,,,,1958,762
,,,Advanced DC-DC Converters,767,,Pennsylvania State University,1127,,,,,1957,722
,,,Inorganic Fluorides and Related Compounds,766,,University of Science and Technology Beijing,1110,,,,,1956,655
,,,Magnesium in Health and Disease,754,,Nanyang Technological University,1109,,,,,1955,602
,,,Electron and X-Ray Spectroscopy Techniques,750,,Pacific Northwest National Laboratory,1106,,,,,1954,592
,,,Minerals Flotation and Separation Techniques,745,,Czech Academy of Sciences,1106,,,,,1953,572
,,,Concrete Corrosion and Durability,729,,National Institute for Materials Science,1100,,,,,1952,502
,,,Metabolism and Genetic Disorders,721,,United States Department of the Army,1067,,,,,1951,412
,,,Engineering Applied Research,707,,University of Münster,1067,,,,,1950,391
,,,Acute Kidney Injury Research,700,,University of Michigan,1063,,,,,1949,232
,,,Hydrogen Storage and Materials,691,,Jilin University,1058,,,,,1948,198
,,,Radioactive element chemistry and processing,691,,University of Toronto,1053,,,,,1935,179
,,,Polyoxometalates: Synthesis and Applications,670,,Georgia Institute of Technology,1051,,,,,1939,174
,,,Chemical Mechanical Polishing in Microelectronics Manufacturing,664,,University College London,1049,,,,,1936,159
,,,Chemical Synthesis and Characterization,658,,University of Cambridge,1048,,,,,1940,158
,,,Recycling and Waste Management Techniques,654,,Nanjing University,1046,,,,,1947,157
,,,Machine Learning in Materials Science,645,,Korea Advanced Institute of Science and Technology,1045,,,,,1937,156
,,,Viral gastroenteritis research and epidemiology,644,,National Research Council,1028,,,,,1933,154
,,,Animal Nutrition and Physiology,632,,University of Malaya,1020,,,,,1931,149
,,,Bauxite Residue and Utilization,622,,Sichuan University,1013,,,,,1934,146
,,,Graphene research and applications,606,,Technical University of Munich,1004,,,,,1938,145
,,,Iron oxide chemistry and applications,606,,California Institute of Technology,1000,,,,,1932,142
,,,Quantum Dots Synthesis And Properties,601,,Wuhan University of Technology,996,,,,,1930,130
,,,Thermal Expansion and Ionic Conductivity,590,,Helmholtz-Institute Ulm,984,,,,,1941,128
,,,Neuroscience and Neural Engineering,568,,Beijing University of Chemical Technology,975,,,,,1946,123
,,,Various Chemistry Research Topics,566,,University of Wollongong,972,,,,,1942,110
,,,Microbial Fuel Cells and Bioremediation,565,,École Polytechnique Fédérale de Lausanne,967,,,,,1945,110
,,,Surface Treatment and Coatings,563,,Universidade de São Paulo,964,,,,,1929,108
,,,Therapeutic Advances in Cystic Fibrosis Research,555,,Fraunhofer Society,957,,,,,1927,99
,,,Force Microscopy Techniques and Applications,547,,Harvard University,954,,,,,1943,98
,,,Parathyroid Disorders and Treatments,546,,University of Illinois Urbana-Champaign,949,,,,,1925,97
,,,Muscle and Compartmental Disorders,528,,Wuhan University,944,,,,,1928,95
,,,Electrokinetic Soil Remediation Techniques,523,,City University of Hong Kong,943,,,,,1944,95
,,,Sodium Intake and Health,516,,Hunan University,940,,,,,1926,82
,,,"Cardiac, Anesthesia and Surgical Outcomes",515,,Cornell University,935,,,,,1924,81
,,,Copper-based nanomaterials and applications,509,,University of Oxford,926,,,,,1923,76
,,,Electrohydrodynamics and Fluid Dynamics,496,,"University of Maryland, College Park",921,,,,,1922,70
,,,Semiconductor materials and interfaces,495,,Nanjing Tech University,915,,,,,1907,66
,,,Advanced biosensing and bioanalysis techniques,490,,Shenzhen University,897,,,,,1921,66
,,,Adrenal Hormones and Disorders,483,,Yonsei University,890,,,,,1906,61
,,,Lipid Membrane Structure and Behavior,481,,Soochow University,887,,,,,1915,58
,,,Diabetes and associated disorders,472,,Shandong University,877,,,,,1905,53
,,,Non-Destructive Testing Techniques,469,,State Council of the People's Republic of China,875,,,,,1920,53
,,,Heart Failure Treatment and Management,465,,Monash University,862,,,,,1903,52
,,,Aluminum Alloy Microstructure Properties,465,,Korea University,858,,,,,1912,52
,,,Geophysical and Geoelectrical Methods,457,,Polish Academy of Sciences,849,,,,,1916,52
,,,Catalysis and Oxidation Reactions,453,,University of Manchester,848,,,,,1909,49
,,,Membrane Separation Technologies,449,,Sun Yat-sen University,847,,,,,1908,47
,,,Ion channel regulation and function,449,,Los Alamos National Laboratory,844,,,,,1919,47
,,,Colorectal Cancer Screening and Detection,447,,Triad National Security (United States),844,,,,,1913,46
,,,Gastrointestinal motility and disorders,446,,Shanghai University,842,,,,,1914,46
,,,Perovskite Materials and Applications,443,,Paul Scherrer Institute,842,,,,,1911,43
,,,ZnO doping and properties,442,,University of Hong Kong,842,,,,,1918,41
,,,Multilevel Inverters and Converters,442,,Institute of Physics,840,,,,,1902,40
,,,Traumatic Brain Injury and Neurovascular Disturbances,441,,KTH Royal Institute of Technology,831,,,,,1901,39
,,,Synthesis and properties of polymers,436,,Tongji University,828,,,,,1910,38
,,,Postharvest Quality and Shelf Life Management,429,,Chalmers University of Technology,828,,,,,1917,37
,,,Liver Disease and Transplantation,427,,National Taiwan University,827,,,,,1899,36
,,,Electronic and Structural Properties of Oxides,425,,RWTH Aachen University,826,,,,,1900,34
,,,Industrial Technology and Control Systems,421,,Case Western Reserve University,822,,,,,1898,31
,,,Blood Pressure and Hypertension Studies,418,,Sandia National Laboratories,810,,,,,1904,30
,,,Glass properties and applications,418,,CNRS Ingénierie,807,,,,,1896,25
,,,Microfluidic and Bio-sensing Technologies,417,,University of Electronic Science and Technology of China,803,,,,,1897,24
,,,Nuclear Materials and Properties,412,,National Aeronautics and Space Administration,800,,,,,1894,22
,,,Nanoporous metals and alloys,412,,Université Paris-Saclay,798,,,,,1892,20
,,,Soil and Unsaturated Flow,405,,Sungkyunkwan University,797,,,,,1886,18
,,,Poisoning and overdose treatments,399,,United States Army Combat Capabilities Development Command,796,,,,,1890,17
,,,Electronic Packaging and Soldering Technologies,397,,United States Army Futures Command,796,,,,,1889,15
,,,Advanced Thermoelectric Materials and Devices,396,,"University of California, San Diego",791,,,,,1878,14
,,,Electrophoretic Deposition in Materials Science,392,,UNSW Sydney,779,,,,,1891,14
,,,Pituitary Gland Disorders and Treatments,386,,Nagoya University,776,,,,,1885,13
,,,"Trauma, Hemostasis, Coagulopathy, Resuscitation",386,,Collaborative Innovation Center of Chemistry for Energy Materials,773,,,,,1893,13
,,,Veterinary Equine Medical Research,382,,University of Florida,771,,,,,1887,12
,,,Hydrogen's biological and therapeutic effects,377,,Chongqing University,766,,,,,1888,12
,,,Pancreatitis Pathology and Treatment,372,,University of Pennsylvania,764,,,,,1884,11
,,,Metal-Organic Frameworks: Synthesis and Applications,361,,University of Waterloo,762,,,,,1895,11
,,,Covalent Organic Framework Applications,358,,Dalian Institute of Chemical Physics,758,,,,,1882,9
,,,Phase Equilibria and Thermodynamics,357,,University of Alberta,755,,,,,1875,8
,,,Advanced Thermodynamics and Statistical Mechanics,357,,Tokyo University of Science,754,,,,,1876,8
,,,Layered Double Hydroxides Synthesis and Applications,351,,Institut polytechnique de Grenoble,751,,,,,1877,8
,,,Magnetic and Electromagnetic Effects,351,,ETH Zurich,751,,,,,1881,8
,,,Dyeing and Modifying Textile Fibers,344,,Université de Lyon,750,,,,,1843,7
,,,Liver Disease Diagnosis and Treatment,342,,Brookhaven National Laboratory,735,,,,,1883,7
,,,Salivary Gland Disorders and Functions,341,,University of Utah,735,,,,,1880,6
,,,Analytical chemistry methods development,340,,Brookhaven Science Associates,735,,,,,1838,4
,,,Animal health and immunology,340,,Texas A&M University,731,,,,,1839,3
,,,Radical Photochemical Reactions,337,,Sapienza University of Rome,729,,,,,1869,3
,,,Renin-Angiotensin System Studies,337,,University of British Columbia,727,,,,,1870,3
,,,Cardiac Arrest and Resuscitation,334,,United States Department of Commerce,724,,,,,1879,3
,,,"Birth, Development, and Health",334,,Yokohama National University,721,,,,,1834,2
,,,Neonatal Respiratory Health Research,331,,DEVCOM Army Research Laboratory,720,,,,,1840,2
,,,Smart Materials for Construction,330,,The Ohio State University,720,,,,,1851,2
,,,Neuroendocrine regulation and behavior,326,,Northeastern University,714,,,,,1856,2
,,,Mass Spectrometry Techniques and Applications,323,,King Saud University,711,,,,,1860,2
,,,Intestinal Malrotation and Obstruction Disorders,320,,Nanjing University of Aeronautics and Astronautics,711,,,,,1862,2
,,,Corrosion Behavior of Nickel-Aluminium Bronze Alloys,318,,National Cheng Kung University,707,,,,,1863,2
,,,Advanced materials and composites,315,,Dalian University of Technology,705,,,,,1867,2
,,,Electrowetting in Microfluidics and Optics,314,,Northwestern University,703,,,,,1868,2
,,,Physiological and biochemical adaptations,313,,Southern University of Science and Technology,702,,,,,1873,2
,,,Human Health and Disease,311,,Materials Science & Engineering,696,,,,,1800,1
,,,Titanium Alloys Microstructure and Properties,310,,Purdue University West Lafayette,695,,,,,1835,1
,,,High voltage insulation and dielectric phenomena,305,,University of Tennessee at Knoxville,694,,,,,1837,1
,,,Aluminum Alloys Composites Properties,303,,Banaras Hindu University,692,,,,,1844,1
,,,Seed Germination and Physiology,301,,University of Minnesota,691,,,,,1845,1
,,,Thermal and Kinetic Analysis,301,,United States Department of Veterans Affairs,690,,,,,1846,1
,,,Advanced Cellulose Research Studies,298,,"University of California, Los Angeles",680,,,,,1852,1
,,,Gold and Silver Nanoparticles Synthesis and Applications,297,,Office of Energy Efficiency and Renewable Energy,679,,,,,1858,1
,,,Carbon Nanotubes in Composites,295,,Pohang University of Science and Technology,675,,,,,1859,1
,,,Atom Probe Tomography Research,294,,Helmholtz-Institute Münster,673,,,,,1861,1
,,,Clinical Laboratory Practices and Quality Control,293,,Université Paris Cité,669,,,,,1864,1
,,,High-Temperature Coating Behaviors,292,,National Renewable Energy Laboratory,665,,,,,1871,1
,,,Clay minerals and soil interactions,292,,Hong Kong Polytechnic University,663,,,,,,
,,,Adsorption and biosorption for pollutant removal,291,,Johns Hopkins University,662,,,,,,
,,,COVID-19 Clinical Research Studies,291,,University of Washington,657,,,,,,
,,,Neuroscience and Neuropharmacology Research,288,,Changchun Institute of Applied Chemistry,657,,,,,,
,,,Spaceflight effects on biology,288,,Yale University,655,,,,,,
,,,Polymer Surface Interaction Studies,287,,Hefei Institutes of Physical Science,650,,,,,,
,,,Porphyrin and Phthalocyanine Chemistry,286,,Columbia University,649,,,,,,
,,,Epilepsy research and treatment,284,,Ulsan National Institute of Science and Technology,648,,,,,,
,,,Material Dynamics and Properties,283,,Universität Ulm,645,,,,,,
,,,Nuclear Physics and Applications,280,,Réseau sur le Stockage Electrochimique de l'énergie,633,,,,,,
,,,Pharmacological Effects and Toxicity Studies,278,,Toyota Group (Japan),632,,,,,,
,,,Neurological and metabolic disorders,278,,East China University of Science and Technology,631,,,,,,
,,,Plasma Applications and Diagnostics,274,,South China Normal University,631,,,,,,
,,,Erythrocyte Function and Pathophysiology,274,,Guangdong University of Technology,630,,,,,,
,,,Medical Research and Treatments,272,,Northwestern Polytechnical University,628,,,,,,
,,,Traditional Chinese Medicine Studies,269,,Samsung (South Korea),628,,,,,,
,,,Neuropeptides and Animal Physiology,268,,Beijing National Laboratory for Molecular Sciences,627,,,,,,
,,,Kidney Stones and Urolithiasis Treatments,267,,Deakin University,626,,,,,,
,,,Analytical Methods in Pharmaceuticals,267,,Chemnitz University of Technology,615,,,,,,
,,,Diamond and Carbon-based Materials Research,266,,Leibniz Association,615,,,,,,
,,,Advanced Polymer Synthesis and Characterization,265,,Central Electrochemical Research Institute,612,,,,,,
,,,Body Composition Measurement Techniques,264,,Delft University of Technology,612,,,,,,
